"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Tevin Coleman","RB","NYJ",6,6.01,1.25,0.188,4.89,8.02,-2.99,-1.83,-2.96,505,288,349,48,"9",33,NA,NA,38,6
"Darius Slayton","WR","NYG",10,6,0.858,0.104,5.54,7.45,-2.99,-1.77,-3.01,504,280,355,67,"11",29,NA,NA,9,2
"Mecole Hardman","WR","KC",12,5.9,1.14,0.232,4.73,7.27,-3.09,-2.58,-3.19,512,343,368,68,"11",28,NA,NA,19,2
"Baker Mayfield","QB","CLE",13,14.3,1.34,0.0861,13,16,-3.12,-2.6,-2.9,515,346,348,24,"8",31,NA,NA,53,3
"Ameer Abdullah","RB","CAR",13,5.82,1.1,0.477,4.52,7.36,-3.18,-2.21,-3.61,523,327,387,49,"9",32,NA,NA,25,6
"Tim Boyle","QB","DET",9,14.2,1.26,0.0102,12.9,15.7,-3.21,-2.65,-3.12,526,353,362,25,"8",56,NA,NA,47,3
"Josh Johnson","QB","FA",NA,14.2,NA,0.0346,NA,NA,-3.22,NA,NA,529,NA,NA,26,"8",35,NA,NA,NA,6
"Zach Wilson","QB","NYJ",6,14.2,2,0.00719,11.9,16.7,-3.26,-3.65,-2.17,533,407,297,27,"8",26,NA,NA,88,0
"Davis Mills","QB","HOU",10,14.2,0.947,0.244,13.5,15.7,-3.26,-2.05,-3.15,535,315,363,28,"8",27,NA,NA,19,0
"Will Fuller","WR","MIA",14,5.67,NA,0.059,NA,NA,-3.32,NA,NA,539,NA,NA,69,"11",32,NA,NA,NA,5
